City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kokopo,PG,2022-05-15 00:23:19,-4.352,152.2633,83.16,62,32,3.24
68,Flin Flon,CA,2022-05-15 00:23:19,54.7682,-101.865,34.52,97,100,10.36
69,Castro,BR,2022-05-15 00:23:20,-24.7911,-50.0119,57.06,85,99,1.07
70,Tocopilla,CL,2022-05-15 00:23:21,-22.092,-70.1979,63.97,68,16,5.86
71,Bodden Town,KY,2022-05-15 00:23:21,19.2833,-81.25,80.01,85,40,4.61
72,Guerrero Negro,MX,2022-05-15 00:23:22,27.9769,-114.0611,69.98,53,100,19.33
73,Adrar,MR,2022-05-15 00:23:23,20.5022,-10.0711,86.61,11,64,10.45
74,Eureka,US,2022-05-15 00:23:24,40.8021,-124.1637,72.68,77,99,1.01
75,Lebu,CL,2022-05-15 00:23:24,-37.6167,-73.65,49.84,85,10,11.39
76,Tokmak,UA,2022-05-15 00:23:25,47.2514,35.7058,52.29,90,21,7.74
77,Chase,CA,2022-05-15 00:23:26,50.8165,-119.6857,59.88,59,98,3.67
78,Avarua,CK,2022-05-15 00:23:26,-21.2078,-159.775,80.65,69,75,6.91
79,Molchanovo,RU,2022-05-15 00:23:27,57.5817,83.7692,60.73,45,25,3.47
80,Pevek,RU,2022-05-15 00:23:28,69.7008,170.3133,31.37,95,100,11.12
81,Hobart,AU,2022-05-15 00:21:05,-42.8794,147.3294,63.27,63,75,1.99
82,Seaford,GB,2022-05-15 00:23:29,50.7714,0.1027,56.7,85,91,9.44
83,Port Alfred,ZA,2022-05-15 00:23:29,-33.5906,26.891,60.49,81,8,6.42
84,Barrow,US,2022-05-15 00:22:41,71.2906,-156.7887,30.22,86,0,18.41
85,Clarence Town,AU,2022-05-15 00:23:30,-32.5833,151.7833,71.98,69,84,4.45
86,Upernavik,GL,2022-05-15 00:23:31,72.7868,-56.1549,12.52,89,15,3.71
87,Amapa,BR,2022-05-15 00:23:32,1.0,-52.0,73.71,99,97,2.26
88,Huarmey,PE,2022-05-15 00:23:32,-10.0681,-78.1522,65.19,82,48,7.43
89,Ouanaminthe,HT,2022-05-15 00:24:33,19.55,-71.7333,77.25,85,100,5.21
90,Saint Anthony,US,2022-05-15 00:24:34,45.0205,-93.218,71.53,35,0,18.41
91,Saryg-Sep,RU,2022-05-15 00:21:24,51.5,95.6,53.4,32,15,3.0
92,Aklavik,CA,2022-05-15 00:24:35,68.2191,-135.0107,29.28,70,100,8.23
93,Provideniya,RU,2022-05-15 00:24:35,64.3833,-173.3,34.3,96,100,6.6
94,Praia,CV,2022-05-15 00:24:13,14.9215,-23.5087,81.14,47,0,27.63
95,Bad Frankenhausen,DE,2022-05-15 00:24:36,51.35,11.1,54.68,77,9,2.37
96,Carlisle,US,2022-05-15 00:20:08,40.2015,-77.1889,69.44,87,100,5.64
97,Kimbe,PG,2022-05-15 00:24:37,-5.5502,150.1429,85.89,68,95,0.83
98,Melo,UY,2022-05-15 00:24:38,-32.3667,-54.1833,58.51,93,100,6.8
99,Mandera,KE,2022-05-15 00:24:39,3.9366,41.867,78.44,70,81,12.53
100,Fort Nelson,CA,2022-05-15 00:24:28,58.8053,-122.7002,47.79,71,75,9.22
101,Butaritari,KI,2022-05-15 00:24:40,3.0707,172.7902,80.82,74,18,7.45
102,Chipinge,ZW,2022-05-15 00:24:40,-20.1883,32.6236,54.61,82,0,3.71
103,Arraial Do Cabo,BR,2022-05-15 00:24:41,-22.9661,-42.0278,69.76,83,75,3.44
104,Dawlatabad,AF,2022-05-15 00:24:41,36.4141,64.9053,65.28,49,97,5.21
105,San Patricio,US,2022-05-15 00:22:47,28.017,-97.5169,86.18,60,6,16.08
106,Kushima,JP,2022-05-15 00:24:42,31.4583,131.2333,69.57,65,90,0.47
107,Cherskiy,RU,2022-05-15 00:24:43,68.75,161.3,26.92,89,100,20.67
108,Ahuimanu,US,2022-05-15 00:24:43,21.4447,-157.8378,83.91,58,20,16.11
109,Thompson,CA,2022-05-15 00:24:44,55.7435,-97.8558,42.96,100,100,3.44
110,Virginia Beach,US,2022-05-15 00:24:33,36.8529,-75.978,72.0,86,75,5.75
111,Bengkulu,ID,2022-05-15 00:24:45,-3.8004,102.2655,77.52,90,60,3.8
112,Codrington,AU,2022-05-15 00:24:45,-38.2667,141.9667,61.07,72,53,19.44
113,Bubaque,GW,2022-05-15 00:24:46,11.2833,-15.8333,78.71,82,65,15.99
114,Hasaki,JP,2022-05-15 00:22:33,35.7333,140.8333,63.0,66,100,18.68
115,Hithadhoo,MV,2022-05-15 00:24:46,-0.6,73.0833,82.29,70,91,9.22
116,Eldorado,BR,2022-05-15 00:24:47,-23.7869,-54.2836,66.07,98,100,7.81
117,Mahebourg,MU,2022-05-15 00:24:47,-20.4081,57.7,75.49,69,40,5.75
118,Dharchula,IN,2022-05-15 00:24:48,29.85,80.5333,69.01,48,4,6.55
119,Jega,NG,2022-05-15 00:24:49,12.2175,4.3792,90.63,43,92,11.01
120,Zabid,YE,2022-05-15 00:24:49,14.1951,43.3152,87.28,42,0,4.65
121,Rock Springs,US,2022-05-15 00:24:50,41.5875,-109.2029,66.04,28,20,23.02
122,Avera,US,2022-05-15 00:24:22,33.194,-82.5271,75.38,57,52,0.87
123,Ponta Do Sol,PT,2022-05-15 00:24:04,32.6667,-17.1,67.01,83,17,7.94
124,Longyearbyen,SJ,2022-05-15 00:24:13,78.2186,15.6401,28.24,74,75,5.75
125,Lisakovsk,KZ,2022-05-15 00:24:51,52.5369,62.4936,49.95,76,50,8.5
126,Boda,CF,2022-05-15 00:24:52,4.3189,17.4695,70.83,87,86,2.46
127,Nanortalik,GL,2022-05-15 00:24:52,60.1432,-45.2371,31.51,82,100,6.11
128,Erenhot,CN,2022-05-15 00:24:53,43.6475,111.9767,54.7,21,24,12.12
129,Bredasdorp,ZA,2022-05-15 00:24:53,-34.5322,20.0403,52.52,86,6,2.62
130,Papara,BR,2022-05-15 00:24:54,-3.9839,-38.7273,80.69,97,75,2.75
131,Vostok,RU,2022-05-15 00:24:55,46.4856,135.8833,43.99,69,77,12.71
132,Nipawin,CA,2022-05-15 00:25:55,53.3668,-104.0009,44.64,76,100,19.57
133,Norman Wells,CA,2022-05-15 00:25:56,65.282,-126.8329,39.24,65,100,21.85
134,Jaragua,BR,2022-05-15 00:25:57,-15.7569,-49.3344,74.17,47,73,2.42
135,Tskaltubo,GE,2022-05-15 00:25:57,42.3254,42.5979,50.94,87,0,5.75
136,Torbay,CA,2022-05-15 00:22:50,47.6666,-52.7314,33.58,89,40,8.01
137,Mnogovershinnyy,RU,2022-05-15 00:25:58,53.9353,139.9242,29.17,98,100,14.65
138,Victoria,HK,2022-05-15 00:25:54,22.2855,114.1577,73.96,93,100,17.0
139,Nenjiang,CN,2022-05-15 00:25:59,49.1833,125.2167,49.35,28,68,20.8
140,Noumea,NC,2022-05-15 00:22:40,-22.2763,166.4572,80.58,99,63,12.73
141,Leningradskiy,RU,2022-05-15 00:25:59,69.3833,178.4167,35.89,98,100,13.78
142,Constitucion,CL,2022-05-15 00:24:01,-35.3333,-72.4167,52.59,61,39,6.11
143,Pisco,PE,2022-05-15 00:26:00,-13.7,-76.2167,64.45,82,100,5.75
144,Grindavik,IS,2022-05-15 00:24:11,63.8424,-22.4338,45.07,93,100,26.46
145,El Dorado,US,2022-05-15 00:26:01,38.7666,-120.5177,82.63,36,7,1.99
146,Viransehir,TR,2022-05-15 00:26:02,37.2353,39.7631,68.94,48,97,10.11
147,Broome,US,2022-05-15 00:26:03,42.2506,-75.833,70.57,81,0,5.99
148,Kavieng,PG,2022-05-15 00:26:03,-2.5744,150.7967,84.11,65,28,7.36
149,Anadyr,RU,2022-05-15 00:26:04,64.75,177.4833,45.1,70,40,11.18
150,Carutapera,BR,2022-05-15 00:26:05,-1.195,-46.02,77.38,91,100,6.8
151,Broken Hill,AU,2022-05-15 00:26:05,-31.95,141.4333,65.26,55,57,9.71
152,Manokwari,ID,2022-05-15 00:26:06,-0.8667,134.0833,82.36,68,100,0.85
153,Port Elizabeth,ZA,2022-05-15 00:26:06,-33.918,25.5701,52.32,95,0,4.61
154,Beba,CU,2022-05-15 00:26:07,22.4437,-79.7253,75.47,70,61,3.04
155,Galle,LK,2022-05-15 00:26:08,6.0367,80.217,79.52,86,100,17.36
156,Zhuhai,CN,2022-05-15 00:26:09,22.2769,113.5678,74.86,100,75,13.8
157,Acarau,BR,2022-05-15 00:25:16,-2.8856,-40.12,78.35,86,63,12.88
158,Chuy,UY,2022-05-15 00:26:09,-33.6971,-53.4616,59.0,86,90,3.53
159,Pachino,IT,2022-05-15 00:26:10,36.7186,15.0907,64.36,70,0,1.23
160,Sorland,NO,2022-05-15 00:26:11,67.667,12.6934,42.66,90,37,24.9
161,Richards Bay,ZA,2022-05-15 00:26:11,-28.783,32.0377,66.81,92,97,6.49
162,Shimoda,JP,2022-05-15 00:26:12,34.6667,138.95,64.76,75,96,16.17
163,Comendador,DO,2022-05-15 00:26:13,18.8775,-71.7028,74.57,76,99,7.92
164,Tingi,TZ,2022-05-15 00:26:14,-11.3,35.0333,58.3,84,12,2.28
165,La Ronge,CA,2022-05-15 00:26:15,55.1001,-105.2842,39.45,81,100,14.97
166,Yazoo City,US,2022-05-15 00:25:55,32.8551,-90.4056,80.71,73,66,2.48
167,Klaksvik,FO,2022-05-15 00:26:15,62.2266,-6.589,49.12,91,98,8.81
168,Kodino,RU,2022-05-15 00:27:31,63.7198,39.6447,47.12,92,100,5.35
169,Necochea,AR,2022-05-15 00:24:19,-38.5473,-58.7368,51.42,69,32,12.26
170,Sao Joao Da Barra,BR,2022-05-15 00:27:32,-21.6403,-41.0511,73.22,71,99,7.67
171,Bambous Virieux,MU,2022-05-15 00:27:33,-20.3428,57.7575,75.45,69,40,5.75
172,Motygino,RU,2022-05-15 00:27:33,58.1831,94.7592,58.51,46,84,2.77
173,Tanout,NE,2022-05-15 00:27:34,14.9709,8.8879,81.5,15,88,9.64
174,Seminole,US,2022-05-15 00:26:11,28.7086,-81.2081,82.26,77,40,12.66
175,Saint George,US,2022-05-15 00:28:35,37.1041,-113.5841,94.95,7,0,5.01
176,Katsuura,JP,2022-05-15 00:28:36,35.1333,140.3,61.97,79,100,23.47
177,Javanrud,IR,2022-05-15 00:28:37,34.7961,46.5172,54.54,38,0,0.85
178,Tilichiki,RU,2022-05-15 00:28:37,60.4667,166.1,35.08,98,100,2.26
179,Yatou,CN,2022-05-15 00:28:38,37.15,122.3833,61.56,29,0,4.07
180,Eichstatt,DE,2022-05-15 00:28:39,48.8833,11.1833,54.48,84,16,2.33
181,Ajra,IN,2022-05-15 00:28:39,16.1167,74.2,72.28,85,69,6.35
182,Lavrentiya,RU,2022-05-15 00:28:40,65.5833,-171.0,31.35,99,100,6.51
183,Ulefoss,NO,2022-05-15 00:28:40,59.2838,9.2646,50.32,77,93,5.53
184,New York,US,2022-05-15 00:24:25,40.7143,-74.006,67.15,92,100,9.22
185,Orumiyeh,IR,2022-05-15 00:28:41,37.5527,45.0761,51.35,66,75,9.22
186,Henties Bay,NA,2022-05-15 00:28:42,-22.116,14.2845,58.8,75,0,7.9
187,Shubarshi,KZ,2022-05-15 00:28:43,48.5872,57.1869,57.04,66,96,12.77
188,Vao,NC,2022-05-15 00:28:43,-22.6667,167.4833,73.69,72,67,17.13
189,Faanui,PF,2022-05-15 00:28:44,-16.4833,-151.75,81.63,66,0,13.18
190,Hirara,JP,2022-05-15 00:28:46,24.8,125.2833,78.66,88,75,18.41
191,Rawson,AR,2022-05-15 00:28:47,-43.3002,-65.1023,49.89,48,0,18.23
192,Taksimo,RU,2022-05-15 00:28:47,56.3444,114.8794,48.54,63,40,4.14
193,Krasnoye Selo,RU,2022-05-15 00:28:48,59.7383,30.0894,43.88,81,0,6.71
194,Khatanga,RU,2022-05-15 00:24:18,71.9667,102.5,34.39,100,100,10.18
195,Conceicao Do Araguaia,BR,2022-05-15 00:28:49,-8.2578,-49.2647,76.68,84,99,2.44
196,Zakamensk,RU,2022-05-15 00:28:49,50.3741,103.2863,54.59,28,11,2.53
197,Kaeo,NZ,2022-05-15 00:28:50,-35.1,173.7833,71.33,67,80,9.46
198,Padang,ID,2022-05-15 00:28:51,-0.9492,100.3543,78.85,83,4,3.18
199,Oistins,BB,2022-05-15 00:28:15,13.0667,-59.5333,80.69,74,40,17.27
200,Liberal,US,2022-05-15 00:27:59,37.0431,-100.921,90.64,14,0,9.22
201,Mountain Home,US,2022-05-15 00:28:52,43.133,-115.6912,69.28,35,0,12.66
202,Altay,CN,2022-05-15 00:28:52,47.8667,88.1167,58.77,31,87,7.9
203,Seymchan,RU,2022-05-15 00:28:53,62.8833,152.4333,39.81,68,100,1.21
204,Aksu,CN,2022-05-15 00:28:53,41.1231,80.2644,64.15,45,72,4.16
205,Santa Maria Del Oro,MX,2022-05-15 00:28:54,25.9333,-105.3667,87.58,14,63,11.61
206,Hervey Bay,AU,2022-05-15 00:28:54,-25.2986,152.8535,78.03,85,17,4.0
207,Lichuan,CN,2022-05-15 00:28:55,30.3,108.85,47.88,92,100,1.5
208,Ahipara,NZ,2022-05-15 00:28:56,-35.1667,173.1667,66.92,73,65,11.27
209,Tuatapere,NZ,2022-05-15 00:28:56,-46.1333,167.6833,52.34,77,80,3.98
210,Ilulissat,GL,2022-05-15 00:26:42,69.2167,-51.1,26.62,54,40,4.61
211,Barcelona,ES,2022-05-15 00:24:12,41.3888,2.159,69.55,57,0,3.44
212,Chokurdakh,RU,2022-05-15 00:24:18,70.6333,147.9167,17.91,88,97,2.42
213,Flinders,AU,2022-05-15 00:28:58,-34.5833,150.8552,73.06,91,94,5.99
214,Vila Franca Do Campo,PT,2022-05-15 00:28:58,37.7167,-25.4333,63.01,79,89,17.9
215,Manacapuru,BR,2022-05-15 00:28:59,-3.2997,-60.6206,77.27,94,100,4.41
216,Najran,SA,2022-05-15 00:28:59,17.4924,44.1277,70.45,18,56,3.51
217,Nemuro,JP,2022-05-15 00:29:00,43.3236,145.575,45.66,79,99,13.29
218,Dunmore Town,BS,2022-05-15 00:29:01,25.5,-76.65,77.11,84,44,14.45
219,Mount Gambier,AU,2022-05-15 00:29:02,-37.8333,140.7667,58.91,88,40,13.8
220,Prince Rupert,CA,2022-05-15 00:29:03,54.3161,-130.3201,51.49,76,75,4.61
221,Itoman,JP,2022-05-15 00:29:04,26.1247,127.6694,75.22,96,75,16.11
222,Coquimbo,CL,2022-05-15 00:25:21,-29.9533,-71.3436,55.13,94,100,3.44
223,Opuwo,NA,2022-05-15 00:29:05,-18.0607,13.84,61.57,40,7,1.86
224,Pizhma,RU,2022-05-15 00:30:06,57.8642,47.1171,43.54,91,100,9.28
