City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
279,Dingle,PH,88.12,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
285,Waingapu,ID,85.28,clear sky,-9.6567,120.2641,Pondok Wisata Elim
288,Katobu,ID,87.82,overcast clouds,-4.9408,122.5276,La Ode Husein
290,Kavaratti,IN,80.64,heavy intensity rain,10.5669,72.642,Hotels in Lakshadweep Islands
291,Cabo San Lucas,MX,83.61,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
294,Axim,GH,79.25,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
298,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
303,Vung Tau,VN,86.67,overcast clouds,10.346,107.0843,Seaside Resort
305,Sibolga,ID,86.0,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
308,Gigmoto,PH,87.01,overcast clouds,13.7796,124.39,Cj's Travellers Inn
310,Luanda,AO,75.2,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
328,Hithadhoo,MV,82.51,broken clouds,-0.6,73.0833,Scoop Guest House
329,Linguere,SN,84.04,clear sky,15.3953,-15.1193,AYO Casablanca
332,Pundaguitan,PH,80.8,light rain,6.3711,126.1689,Leonardo Family Beach House 1
335,Kedougou,SN,85.21,scattered clouds,12.5579,-12.1743,Relais de Kédougou
340,Makakilo City,US,80.56,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
343,Mayumba,GA,76.68,overcast clouds,-3.432,10.6554,LIKWALE LODGE
351,Bowen,AU,77.02,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
353,Prachuap Khiri Khan,TH,88.68,broken clouds,12.2167,99.75,ผกากรองรีสอร์ท
364,Bera,BD,89.22,overcast clouds,24.0833,89.6167,Sohel Parvez
365,Bubaque,GW,78.4,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
369,Bonthe,SL,76.48,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
371,Xiazhen,CN,76.68,clear sky,34.8022,117.1117,Xinjiayuan Hotel
374,Acapulco,MX,82.33,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
377,Jeremie,HT,79.11,overcast clouds,18.65,-74.1167,Auberge’Inn
