City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Bacolod,PH,10.6667,122.95,86.47,64,34,4.61,scattered clouds
80,Mar Del Plata,AR,-38.0023,-57.5575,46.94,80,0,5.75,clear sky
81,Denpasar,ID,-8.65,115.2167,85.71,79,20,11.5,few clouds
82,Kandrian,PG,-6.2167,149.55,87.46,62,99,6.08,overcast clouds
83,Dikson,RU,73.5069,80.5464,31.03,87,100,2.37,overcast clouds
84,Bluff,NZ,-46.6,168.3333,51.8,68,73,6.91,broken clouds
85,Kamakwie,SL,9.5,-12.2333,78.26,89,100,3.96,overcast clouds
86,Erenhot,CN,43.6475,111.9767,63.23,14,12,17.6,few clouds
87,Ambovombe,MG,-25.1667,46.0833,64.54,87,0,4.27,clear sky
88,Ponta Do Sol,PT,32.6667,-17.1,66.7,78,22,8.01,few clouds
89,San Patricio,US,28.017,-97.5169,80.69,81,0,13.09,clear sky
90,Carballo,ES,43.213,-8.691,64.09,97,100,5.17,overcast clouds
91,Kavieng,PG,-2.5744,150.7967,84.96,63,44,5.1,scattered clouds
92,Port Hardy,CA,50.6996,-127.4199,50.18,81,100,18.41,overcast clouds
93,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,80,100,10.36,overcast clouds
94,Ketchikan,US,55.3422,-131.6461,47.73,75,89,3.78,overcast clouds
95,Abha,SA,18.2164,42.5053,64.22,16,0,4.61,clear sky
96,Chokurdakh,RU,70.6333,147.9167,21.43,84,100,1.57,overcast clouds
97,Nikolskoye,RU,59.7035,30.7861,43.81,92,80,4.97,broken clouds
98,Mopipi,BW,-21.1833,24.8833,62.04,35,2,7.45,clear sky
99,Mezen,RU,65.8522,44.24,40.71,93,100,7.83,overcast clouds
100,Waipawa,NZ,-41.4122,175.5153,53.56,95,100,5.57,light rain
101,Bedele,ET,8.456,36.353,55.35,94,64,2.55,broken clouds
102,Sabla,NG,12.7525,4.7077,88.18,47,62,7.65,broken clouds
103,Ribeira Grande,PT,38.5167,-28.7,60.24,64,79,27.78,broken clouds
104,Bethel,US,41.3712,-73.414,66.36,88,75,1.01,broken clouds
105,Castro,BR,-24.7911,-50.0119,56.34,97,100,3.06,overcast clouds
106,Chapais,CA,49.7834,-74.8492,60.58,86,100,9.08,overcast clouds
107,Mucuri,BR,-18.0864,-39.5508,75.13,74,93,10.2,overcast clouds
108,Amapa,BR,1.0,-52.0,72.72,99,100,2.15,overcast clouds
109,Salalah,OM,17.0151,54.0924,80.69,61,2,3.44,clear sky
110,Jiazi,CN,22.8779,116.067,68.22,92,100,19.15,light rain
